attributedUnitsOrdered1dSameSKU,keywordId,attributedSales7d,attributedSales30d,attributedUnitsOrdered30d,attributedSales1d,attributedConversions1d,matchType,attributedSales1dSameSKU,attributedConversions30d,adGroupId,attributedConversions7d,attributedConversions14d,attributedConversions7dSameSKU,attributedUnitsOrdered7dSameSKU,attributedConversions1dSameSKU,cost,adGroupName,attributedUnitsOrdered7d,attributedSales7dSameSKU,campaignId,attributedSales14dSameSKU,attributedSales30dSameSKU,impressions,keywordText,attributedUnitsOrdered1d,attributedConversions30dSameSKU,attributedUnitsOrdered14dSameSKU,attributedConversions14dSameSKU,clicks,attributedSales14d,campaignName,attributedUnitsOrdered30dSameSKU,attributedUnitsOrdered14d,date
0,123597638557904,0,0,0,0,0,EXACT,0,0,40724099774107,0,0,0,0,0,0.0,IT_UpSpring_SP_Hosiery_C-Panty_generic,0,0,259754407542875,0,0,2,cesareo,0,0,0,0,0,0,IT_UpSpring_SP_Hosiery_C-Panty_generic,0,0,20211222
0,142292540351882,0,0,0,0,0,EXACT,0,0,40724099774107,0,0,0,0,0,0.0,IT_UpSpring_SP_Hosiery_C-Panty_generic,0,0,259754407542875,0,0,0,cerotti silicone cicatrici,0,0,0,0,0,0,IT_UpSpring_SP_Hosiery_C-Panty_generic,0,0,20211222
0,126300016831231,0,0,0,0,0,EXACT,0,0,275061756668509,0,0,0,0,0,0.0,IT_UpSpring_SP_Hosiery_Shrinkx Belly_generic,0,0,227474626557637,0,0,124,mutande post parto,0,0,0,0,0,0,IT_UpSpring_SP_Hosiery_Shrinkx Belly_generic,0,0,20211222
0,3008770770561,0,0,0,0,0,EXACT,0,0,275061756668509,0,0,0,0,0,0.0,IT_UpSpring_SP_Hosiery_Shrinkx Belly_generic,0,0,227474626557637,0,0,0,pancera post parto,0,0,0,0,0,0,IT_UpSpring_SP_Hosiery_Shrinkx Belly_generic,0,0,20211222
0,253787946919204,0,0,0,0,0,EXACT,0,0,275061756668509,0,0,0,0,0,0.26,IT_UpSpring_SP_Hosiery_Shrinkx Belly_generic,0,0,227474626557637,0,0,131,fascia post parto,0,0,0,0,1,0,IT_UpSpring_SP_Hosiery_Shrinkx Belly_generic,0,0,20211222
0,63087816391492,0,0,0,0,0,EXACT,0,0,207345175573671,0,0,0,0,0,0.0,IT_UpSpring_SP_Hosiery_Post Baby_generic,0,0,230172433392333,0,0,16,mutand post parto,0,0,0,0,0,0,IT_UpSpring_SP_Hosiery_Post Baby_generic,0,0,20211222
0,146585110839664,0,0,0,0,0,EXACT,0,0,207345175573671,0,0,0,0,0,0.0,IT_UpSpring_SP_Hosiery_Post Baby_generic,0,0,230172433392333,0,0,0,mutande post parto,0,0,0,0,0,0,IT_UpSpring_SP_Hosiery_Post Baby_generic,0,0,20211222
0,149413480989133,0,0,0,0,0,EXACT,0,0,207345175573671,0,0,0,0,0,0.0,IT_UpSpring_SP_Hosiery_Post Baby_generic,0,0,230172433392333,0,0,7,fascia post parto,0,0,0,0,0,0,IT_UpSpring_SP_Hosiery_Post Baby_generic,0,0,20211222
0,252404193373132,0,0,0,0,0,EXACT,0,0,40724099774107,0,0,0,0,0,0.0,IT_UpSpring_SP_Hosiery_C-Panty_generic,0,0,259754407542875,0,0,0,mutande dopo cesareo,0,0,0,0,0,0,IT_UpSpring_SP_Hosiery_C-Panty_generic,0,0,20211222
0,60905357130523,0,0,0,0,0,BROAD,0,0,207345175573671,0,0,0,0,0,0.0,IT_UpSpring_SP_Hosiery_Post Baby_generic,0,0,230172433392333,0,0,76,pancera post parto,0,0,0,0,0,0,IT_UpSpring_SP_Hosiery_Post Baby_generic,0,0,20211222
